APIC,infraAccPortP_name,infraAccPortP_dn
https://sandboxapicdc.cisco.com,1105_INTPROF,uni/infra/accportprof-1105_INTPROF
https://sandboxapicdc.cisco.com,1106_INTPROF,uni/infra/accportprof-1106_INTPROF
https://sandboxapicdc.cisco.com,1105-1106_INTPROF,uni/infra/accportprof-1105-1106_INTPROF
https://sandboxapicdc.cisco.com,1107-1108_INTPROF,uni/infra/accportprof-1107-1108_INTPROF
https://sandboxapicdc.cisco.com,1108_INTPROF,uni/infra/accportprof-1108_INTPROF
https://sandboxapicdc.cisco.com,1107_INTPROF,uni/infra/accportprof-1107_INTPROF
https://sandboxapicdc.cisco.com,ZF-6R-LEAF-2107,uni/infra/accportprof-ZF-6R-LEAF-2107
https://sandboxapicdc.cisco.com,ZF-6R-LEAF-2108,uni/infra/accportprof-ZF-6R-LEAF-2108
