APIC,adSt,address,annotation,apicType,childAction,delayedHeartbeat,dn,extMngdBy,fabricSt,id,lastStateModTs,lcOwn,modTs,model,monPolDn,name,nameAlias,nodeType,role,serial,status,uid,userdom,vendor,version
https://sandboxapicdc.cisco.com,on,10.0.32.64,,apic,,no,topology/pod-1/node-101,,active,101,2023-10-28T23:37:05.144+00:00,local,2023-10-28T23:37:05.143+00:00,N9K-C9396PX,uni/fabric/monfab-default,leaf-1,,unspecified,leaf,TEP-1-101,,0,all,"Cisco Systems, Inc",simsw-6.0(2h)
https://sandboxapicdc.cisco.com,on,10.0.32.66,,apic,,no,topology/pod-1/node-102,,active,102,2023-10-28T23:37:05.057+00:00,local,2023-10-28T23:37:05.057+00:00,N9K-C9396PX,uni/fabric/monfab-default,leaf-2,,unspecified,leaf,TEP-1-102,,0,all,"Cisco Systems, Inc",simsw-6.0(2h)
https://sandboxapicdc.cisco.com,on,10.0.32.65,,apic,,no,topology/pod-1/node-201,,active,201,2023-10-28T23:37:05.163+00:00,local,2023-10-28T23:37:05.163+00:00,N9K-C9508,uni/fabric/monfab-default,spine-1,,unspecified,spine,TEP-1-103,,0,all,"Cisco Systems, Inc",simsw-6.0(2h)
