APIC,infraAccPortP_name,infraAccPortP_dn,infraHPortS_name,infraHPortS_rn,infraPortBlk_fromCard,infraPortBlk_fromPort,infraPortBlk_toCard,infraPortBlk_toPort,infraPortBlk_rn
https://sandboxapicdc.cisco.com,system-port-profile-node-102,uni/infra/accportprof-system-port-profile-node-102,system-port-selector-accportgrp-mud-access-policy-1,hports-system-port-selector-accportgrp-mud-access-policy-1-typ-range,1,35,1,35,portblk-portblock1
https://sandboxapicdc.cisco.com,system-port-profile-node-102,uni/infra/accportprof-system-port-profile-node-102,system-port-selector-accportgrp-Leaf-Access-Port-Policy-Group-01,hports-system-port-selector-accportgrp-Leaf-Access-Port-Policy-Group-01-typ-range,1,1,1,1,portblk-portblock1
https://sandboxapicdc.cisco.com,system-port-profile-node-101,uni/infra/accportprof-system-port-profile-node-101,system-port-selector-accportgrp-mud-access-policy-1,hports-system-port-selector-accportgrp-mud-access-policy-1-typ-range,1,35,1,35,portblk-portblock1
https://sandboxapicdc.cisco.com,system-port-profile-node-101,uni/infra/accportprof-system-port-profile-node-101,system-port-selector-accportgrp-Leaf-Access-Port-Policy-Group-01,hports-system-port-selector-accportgrp-Leaf-Access-Port-Policy-Group-01-typ-range,1,1,1,1,portblk-portblock1
